Rk,Player,Pos,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,cluster
378,Kelly Oubre Jr.,SF,56,1933,14.9,0.56,0.37200000000000005,0.298,3.8,17.3,10.4,6.7,1.7,1.8,8.2,22.4,1.7,1.9,3.6,0.09,-0.3,-0.4,-0.6,0.7,2
381,Jabari Parker,PF,33,852,17.0,0.561,0.29100000000000004,0.185,6.7,18.1,12.3,11.7,2.3,1.5,12.2,24.0,0.5,0.7,1.2,0.066,0.2,-0.4,-0.1,0.4,6
383,Eric Paschall,PF,60,1654,14.5,0.5710000000000001,0.20199999999999999,0.331,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2.0,-2.7,-0.3,6
384,Anžejs Pasečņiks,C,24,405,11.6,0.555,0.019,0.509,10.2,16.9,13.4,5.7,0.9,2.6,14.5,15.6,0.3,0.2,0.5,0.055999999999999994,-3.8,-1.6,-5.4,-0.3,5
385,Patrick Patterson,PF,51,607,11.7,0.5760000000000001,0.755,0.18100000000000002,5.2,15.1,10.3,6.9,0.5,0.4,8.1,15.1,0.9,0.6,1.5,0.11800000000000001,0.9,-0.5,0.4,0.4,6
387,Chris Paul,PG,63,2003,21.7,0.609,0.34700000000000003,0.311,1.2,15.5,8.6,33.4,2.4,0.4,13.0,23.2,5.5,2.5,8.1,0.19399999999999998,3.1,1.2,4.3,3.2,7
388,Elfrid Payton,PG,45,1246,16.0,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,0.065,-0.3,0.3,0.0,0.6,4
389,Gary Payton II,PG,29,432,11.3,0.473,0.397,0.069,6.3,14.3,10.2,14.7,3.6,1.4,14.3,13.4,0.1,0.4,0.4,0.049,-3.1,1.5,-1.6,0.0,1
390,Norvel Pelle,C,20,178,11.2,0.521,0.0,0.34299999999999997,9.9,27.3,18.6,5.3,0.3,12.0,24.4,12.9,-0.1,0.4,0.3,0.08199999999999999,-7.1,3.1,-4.1,-0.1,3
391,Theo Pinson,SG,33,365,5.2,0.37,0.516,0.10300000000000001,2.9,12.1,7.6,22.0,2.2,0.9,16.9,22.4,-1.0,0.5,-0.6,-0.07400000000000001,-6.9,-0.2,-7.1,-0.5,7
